ocn1	eco	seq
E.Nim.Rub	E57	17
E.Nim.Rub	E58	18
E.Nim.Rub	E59	19
E.Nim.Cls	E32	0
E.Nim.Cls	E33	1
E.Nim.Cls	E34	2
E.Nim.Cls	E35	3
E.Nim.Cls	E36	4
E.Nim.Cls	E37	5
E.Nim.Cls	E38	6
E.Nim.Cls	E39	7
E.Nim.Sml	E25	0
E.Nim.Sml	E26	1
E.Nim.Sml	E27	2
E.Nim.Sml	E28	3
E.Nim.Sml	E29	4
E.Nim.Lng	E30	0
E.Nim.Lng	E31	1
E.QID	E12	0
E.QID	E13	1
E.QID	E14	2
E.QID	E15	3
E.QID	E16	4
E.QID	E17	5
E.QID	E18	6
E.QID	E19	7
E.QID.Pet	E12	0
E.QID.Pet	E13	1
E.QID.Mod	E15	0
E.QID.Mod	E16	1
E.QID.Mod	E17	2
E.QID.Mod	E18	3
E.QID.Mod	E19	4
E.Bog	E11	0
E.OldI	A53	0
E.OldI	A54	1
E.OldI	A55	2
E.Gru	D70	0
E.Gru	D71	1
E.Gru	D72	2
E.Gru	D73	3
E.Gru	D74	4
E.Gru	D75	5
E.Gru	D76	6
E.Gru	D77	7
E.Gru	D78	8
E.Gru	D79	9
E.Gru	D80	10
E.Gru	D81	11
E.Gru	D82	12
E.Gru	D83	13
E.Gru	D84	14
E.Gru	D85	15
E.Gru	D86	16
E.Gru	D87	17
E.Gru	D88	18
E.Gru	D89	19
E.Gru	D90	20
E.Gru	D91	21
E.Gru	D92	22
E.Gru	D93	23
E.Gru	D94	24
E.Gru	D95	25
E.Gru	D96	26
E.Gru	D97	27
E.Gru	D98	28
E.Gru	D99	29
E.Gru.Exc	D85	0
E.Gru.Exc	D86	1
E.Gru.Rus	D96	0
E.Gru.Rus	D97	1
E.Gru.Rus	D98	2
E.Gru.Rus	D99	3
E.Gru.Fch	D78	0
E.Gru.Fch	D79	1
A.KIA	A05	0
A.KIA	A07	1
A.KIA	A08	2
A.KIA.Fre	A08	0
A.Ret.Acc	A09	0
A.Ret.Adv	A09	0
A.Ret.Fch	A05	0
A.Eng.Rev.Fou	A28	0
A.Hng	A00	0
A.Gro	A00	0
A.Van	A00	0
A.Bir.Fro	A02	0
A.Tor	A46	0
A.Ver	A45	0
A.Ver	D01	1
A.Col	D04	0
A.Col	D05	1
A.Lon.Job	A45	0
A.Lon.Job	D00	1
B.Nim	B00	0
B.Nim.Ken	B00	0
B.Sca.Mod	B01	0
B.Sca.Por	B01	0
B.Sca.Ice	B01	0
B.Ale.Fou	B03	0
B.Ale.Exc	B03	0
B.Pir.Aus	B09	0
B.Pir.Cls	B08	0
B.Pir.Fch	B07	0
B.Mod.Avk	B06	0
B.Fre.Rub	C10	0
B.Fre.Bur	C11	0
B.Fre.Mac	C12	0
B.CaK.Exc	B13	0
B.CaK.Kar	B17	0
C.Fou	C47	0
C.Fou	C48	1
C.Fou	C49	2
C.Fou.Glk	C47	0
C.Fou.Sco	C47	0
C.Fou.Spa	C48	0
C.Fou.Spa	C49	1
C.Fou.Spa.Rub	C48	0
C.Fou.Hal	C47	0
C.Bsh	C23	0
C.Bsh	C24	1
C.Bsh.Urs	C24	0
C.Bsh.Urs	C43	1
C.Pon	C44	0
C.Pon.Jae	C44	0
C.Pon.CGm	C44	0
C.Cen	C21	0
C.Cen	C22	1
C.Cen.Dsh	C21	0
C.Cen.Pau	C22	0
C.Ita.Giu	C50	0
C.Ita.Giu	C53	1
C.Ita.Giu	C54	2
C.Ita.Two.Ng5	C57	0
C.Ita.Two.Ng5	C58	1
C.Ita.Two.Ng5	C59	2
C.Ita.Two.Ng5.Trx	C57	0
C.Pet.Coc	C42	0
C.Pet.Mod	C43	0
C.Sco.Gbt	C44	0
C.Vie.Gbt	C25	0
C.PhD.Han	C41	0
D.QGA.Cls	D27	0
D.QGA.Cls	D28	1
D.QGA.Cls	D29	2
D.Sla.Che	D15	0
D.Sem.AMe	D45	0
D.QGD.Har	D37	0
D.Cat.Fch	E06	0
D.Cat.Fch	E07	1
E.KID.Cls.Pet	E92	0
E.KID.Cls.Byn	E97	0
E.KID.Mak	E71	0
E.Nim.Rub.Hub	E41	0
E.Bog.Nim	E11	0
E.Bog.WSm	E11	0
E.QID.Cls	E17	0
E.QID.Cls	E18	1
E.Gru.Sml	D80	0
E.Gru.Brn	D80	0
E.OldI.Ukr	A54	0
B.Sic.Clo	B23	0
B.Sic.Clo	B24	1
B.Sic.Clo	B25	2
B.Sic.Clo	B26	3
B.Sic.Clo.GPr	B23	0
B.Sic.Clo.Fch	B24	0
B.Sic.Clo.Fch	B25	1
B.Sic.Clo.Fch	B26	2
B.Sic.Win	B20	0
B.Sic.Bow	B20	0
B.CaK.Fan	B12	0
B.CaK.Brn	B16	0
B.CaK.Sml	B12	0
B.Fre.Stn	C11	0
B.Fre.FKn	C10	0
B.Pir.Byr	B07	0
B.Pir.150	B07	0
C.RyL.Coz	C60	0
C.RyL.Shl	C63	0
C.RyL.Mor	C70	0
C.RyL.Mor	C71	1
C.RyL.Mor	C72	2
C.RyL.Mor	C73	3
C.RyL.Mor	C74	4
C.RyL.Mor	C75	5
C.RyL.Mor	C76	6
C.RyL.Mor	C77	7
C.RyL.Mor	C78	8
C.RyL.Mor	C79	9
C.RyL.Mor	C80	10
C.RyL.Mor	C81	11
C.RyL.Mor	C82	12
C.RyL.Mor	C83	13
C.RyL.Mor	C84	14
C.RyL.Mor	C85	15
C.RyL.Mor	C86	16
C.RyL.Mor	C87	17
C.RyL.Mor	C88	18
C.RyL.Mor	C89	19
C.RyL.Mor	C90	20
C.RyL.Mor	C91	21
C.RyL.Mor	C92	22
C.RyL.Mor	C93	23
C.RyL.Mor	C94	24
C.RyL.Mor	C95	25
C.RyL.Mor	C96	26
C.RyL.Mor	C97	27
C.RyL.Mor	C98	28
C.RyL.Mor	C99	29
C.RyL.Mor.Opn	C80	0
C.RyL.Mor.Opn	C81	1
C.RyL.Mor.Opn	C82	2
C.RyL.Mor.Opn	C83	3
C.RyL.Mor.StD	C71	0
C.RyL.Mor.StD	C72	1
C.RyL.Mor.StD	C73	2
C.RyL.Mor.StD	C74	3
C.RyL.Mor.StD	C75	4
C.RyL.Mor.StD	C76	5
C.RyL.Mor.Ark	C78	0
C.RyL.Mor.NeA	C78	0
C.RyL.Mor.Nor	C70	0
C.RyL.Mor.Wor	C77	0
C.Ita.Giu.Cls	C53	0
C.Ita.Giu.Cls	C54	1
C.Ita.Giu.Mol	C54	0
C.Ita.Two.Opn	C56	0
C.Ita.Two.Max	C56	0
C.Ita.Two.Ng5.Feg	C57	0
C.Ita.Two.Ng5.Ulv	C57	0
C.Ita.Two.Ng5.Pol	C58	0
C.Ita.Two.Ng5.Pol	C59	1
C.Sco.Gor	C44	0
C.Sco.Cls	C45	0
C.Vie.Mie	C26	0
C.Vie.Fal	C26	0
C.Pet.Cls	C42	0
C.Pet.Stf	C42	0
C.PhD.Lio	C41	0
D.QGA.Jan	D25	0
D.QGA.Man	D23	0
D.Sla.Not	D31	0
D.Sla.Ala	D15	0
D.Tar.Rub	D34	0
D.STa.Exc	D41	0
D.Cat.Ope.Qa4	E03	0
D.Cat.Cls.Qc2	E08	0
D.Cat.Cls.Qc2	E09	1
E.KID.Fch.Pan	E63	0
E.KID.Sml.Pan	E83	0
E.KID.Sml.Pan	E84	1
E.KID.Cls.Glg	E92	0
E.KID.Cls.Exc	E92	0
E.Nim.Kas	E20	0
E.Nim.Fou	E20	0
E.QID.Nim	E15	0
E.QID.Fch	E15	0
E.QID.Fch	E16	1
E.QID.Fch	E17	2
E.QID.Fch	E18	3
E.QID.Fch	E19	4
E.Gru.Exc.Cla	D85	0
E.Gru.Exc.Cla	D86	1
E.Gru.Exc.Sev	D85	0
A.Eng.Sym.Hdg	A30	0
A.Eng.Sym.Hdg	A31	1
A.Eng.Rev.Bot	A22	0
A.Eng.Mik	A18	0
A.Ret.Ang	A11	0
A.Ret.Ang	A12	1
A.Ret.QGI	A06	0
A.Hol.Fch	A81	0
A.Hol.Fch	A86	1
A.Hol.Sta	A82	0
A.Hol.Sta	A83	1
A.Hol.Sto.Bot	A93	0
A.Hol.Cls.IZh	A97	0
A.Hol.Cls.IZh	A98	1
A.Hol.Cls.IZh	A99	2
E.Ben.Old	A43	0
