ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
C.Pet.Cls.Bd3.Bd6	Petrov Classical Bd3, Bd6	renamed	Russian Game: Classical Attack, Marshall Variation	Petrov's Defense: Classical Attack, Marshall Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Bd6.O-O.Chi	Petrov Classical Bd3, Chinese Gambit	renamed	Russian Game: Classical Attack, Marshall Variation, Chinese Gambit	Petrov's Defense: Classical Attack, Marshall Variation, Chinese Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Bd6.O-O.Mar	Petrov Classical Bd3, Marshall Trap	renamed	Russian Game: Classical Attack, Marshall Trap	Petrov's Defense: Classical Attack, Marshall Trap	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Bd6.O-O.Sta	Petrov Classical Bd3, Staunton Variation	renamed	Russian Game: Classical Attack, Staunton Variation	Petrov's Defense: Classical Attack, Staunton Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Bd6.O-O.Tar	Petrov Classical Bd3, Tarrasch Variation	renamed	Russian Game: Classical Attack, Tarrasch Variation	Petrov's Defense: Classical Attack, Tarrasch Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6	Petrov Classical Bd3, Nc6	renamed	Russian Game: Classical Attack, Mason-Showalter Variation	Petrov's Defense: Classical Attack, Mason-Showalter Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Brg	Petrov, Classical Attack, Berger Variation	renamed	Russian Game: Classical Attack, Berger Variation	Petrov's Defense: Classical Attack, Berger Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Brw	Petrov, Classical Attack, Chigorin Variation, Browne Attack	renamed	Russian Game: Classical Attack, Chigorin Variation, Browne Attack	Petrov's Defense: Classical Attack, Chigorin Variation, Browne Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Ch2	Petrov, Classical Attack, Chigorin Variation, Main Line	renamed	Russian Game: Classical Attack, Chigorin Variation, Main Line	Petrov's Defense: Classical Attack, Chigorin Variation, Main Line	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Chg	Petrov, Classical Attack, Chigorin Variation	renamed	Russian Game: Classical Attack, Chigorin Variation	Petrov's Defense: Classical Attack, Chigorin Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Jae	Petrov, Classical Attack, Jaenisch Variation	renamed	Russian Game: Classical Attack, Jaenisch Variation	Petrov's Defense: Classical Attack, Jaenisch Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.Bd3.Nc6.O-O.Kra	Petrov, Classical Attack, Krause Variation	renamed	Russian Game: Classical Attack, Krause Variation	Petrov's Defense: Classical Attack, Krause Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
