ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
B.Sic.Sch	Nakamura, Hikaru	2736	Carlsen, Magnus	2863	2020	0-1	PoBF3Mqd	https://lichess.org/PoBF3Mqd
B.Sic.Sch	Karjakin, Sergey	2709	Carlsen, Magnus	2881	2020	1/2-1/2	2QofbaNZ	https://lichess.org/2QofbaNZ
B.Sic.Sch	Karjakin, Sergey	2756	Grischuk, A.	2783	2013	1/2-1/2	h2Fd3Q6f	https://lichess.org/h2Fd3Q6f
B.Sic.Sch.Krs	Karjakin, Sergey	2709	Carlsen, Magnus	2881	2020	1/2-1/2	2QofbaNZ	https://lichess.org/2QofbaNZ
B.Sic.Sch.Krs	Carlsen, M.	2840	Van Wely, L.	2695	2017	1-0	aB82kSWO	https://lichess.org/aB82kSWO
B.Sic.Sch.Krs	Ivanchuk, Vassily	2751	Morozevich, Alexander	2765	2008	1/2-1/2	EkBXM5ue	https://lichess.org/EkBXM5ue
B.Sic.Sch.Krs	Anand, Viswanathan	2770	Ivanchuk, Vassily	2740	1998	1/2-1/2	VovimiK8	https://lichess.org/VovimiK8
B.Sic.Tay	Nepomniachtchi, I.	2773	Carlsen, M.	2865	2022	0-1	ch76oTrr	https://lichess.org/ch76oTrr
B.Sic.Tay	Erigaisi, Arjun	2799	Carlsen, M.	2831	2024	0-1	mJWuXHlT	https://lichess.org/mJWuXHlT
B.Sic.Tay	Nakamura, Hi	2795	Carlsen, M.	2830	2024	0-1	MqbrEepC	https://lichess.org/MqbrEepC
B.Sic.Tay	Kramnik, Vladimir	2812	Caruana, F.	2810	2016	1/2-1/2	N076H7lD	https://lichess.org/N076H7lD
B.Sic.Kan	Carlsen, M.	2863	Anand, V.	2792	2014	1-0	Gf1tgtQw	https://lichess.org/Gf1tgtQw
B.Sic.Kan	Carlsen, M.	2872	Caruana, F.	2782	2014	0-1	U70yDvah	https://lichess.org/U70yDvah
B.Sic.Kan	Kasparov, Garry	2838	Kramnik, Vladimir	2802	2001	1/2-1/2	RCZ8X8hV	https://lichess.org/RCZ8X8hV
B.Sic.Kan	Giri, A.	2782	Carlsen, M.	2855	2016	1-0	wrkLQvCE	https://lichess.org/wrkLQvCE
B.Sic.Cls	Carlsen, M.	2830	Nakamura, Hi	2795	2024	1/2-1/2	qA1UriE0	https://lichess.org/qA1UriE0
B.Sic.Cls	Anand, V.	2776	Carlsen, M.	2843	2018	1/2-1/2	3mXymgBl	https://lichess.org/3mXymgBl
B.Sic.Cls	Carlsen, M.	2855	Vachier Lagrave, M.	2763	2021	1-0	KlTovZ6S	https://lichess.org/KlTovZ6S
B.Sic.Cls	Carlsen, M..	2847	Radjabov, T..	2765	2021	1/2-1/2	Vv32s0zJ	https://lichess.org/Vv32s0zJ
B.Sic.Ros	Caruana, F.	2818	Carlsen, M.	2882	2019	1-0	boLujJkB	https://lichess.org/boLujJkB
B.Sic.Ros	Caruana, Fabiano	2835	Carlsen, Magnus	2863	2020	1-0	dWxgnyeJ	https://lichess.org/dWxgnyeJ
B.Sic.Ros	Caruana, Fabiano	2835	Carlsen, Magnus	2863	2020	1-0	kMy4yNaa	https://lichess.org/kMy4yNaa
B.Sic.Ros	Caruana, Fabiano	2835	Carlsen, Magnus	2863	2020	1-0	zruFgG89	https://lichess.org/zruFgG89
B.Sic.Mor	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1/2-1/2	bbp4jgEb	https://lichess.org/bbp4jgEb
B.Sic.Mor	Carlsen, M.	2853	Topalov, V.	2816	2015	0-1	CA4oVUCt	https://lichess.org/CA4oVUCt
